majority,R
congress,118
session,2nd
chamber,U.S. House of Representatives
rollcall-num,37
legis-num,H RES 863
vote-question,"On Agreeing to the Resolution, as Amended"
vote-type,YEA-AND-NAY
vote-result,Failed
action-date,6-Feb-2024
action-time,6:40 PM
vote-desc,"Impeaching Alejandro Nicholas Mayorkas, Secretary of Homeland Security, for high crimes and misdemeanors"
vote-totals,"
"
Name ID,Vote,Sort Field,Party,State
R000103,Yea,Rosendale,R,MT
R000305,Nay,Ross,D,NC
R000603,Yea,Rouzer,R,NC
R000614,Yea,Roy,R,TX
R000599,Nay,Ruiz,D,CA
R000576,Nay,Ruppersberger,D,MD
R000609,Yea,Rutherford,R,FL
R000579,Nay,Ryan,D,NY
S000168,Yea,Salazar,R,FL
S001226,Nay,Salinas,D,OR
S001156,Nay,Sanchez,D,CA
S001168,Nay,Sarbanes,D,MD
S001176,Not Voting,Scalise,R,LA
S001205,Nay,Scanlon,D,PA
S001145,Nay,Schakowsky,D,IL
S001150,Nay,Schiff,D,CA
S001190,Nay,Schneider,D,IL
S001221,Nay,Scholten,D,MI
S001216,Nay,Schrier,D,WA
S001183,Yea,Schweikert,R,AZ
S000185,Nay,Scott (VA),D,VA
S001189,Yea,"Scott, Austin",R,GA
S001157,Nay,"Scott, David",D,GA
S001224,Yea,Self,R,TX
S000250,Yea,Sessions,R,TX
S001185,Nay,Sewell,D,AL
S000344,Nay,Sherman,D,CA
S001207,Nay,Sherrill,D,NJ
S001148,Yea,Simpson,R,ID
S001208,Nay,Slotkin,D,MI
S001195,Yea,Smith (MO),R,MO
S001172,Yea,Smith (NE),R,NE
S000522,Yea,Smith (NJ),R,NJ
S000510,Nay,Smith (WA),D,WA
S001199,Yea,Smucker,R,PA
S001225,Nay,Sorensen,D,IL
S001200,Nay,Soto,D,FL
S001209,Nay,Spanberger,D,VA
S000929,Yea,Spartz,R,IN
S001218,Nay,Stansbury,D,NM
S001211,Nay,Stanton,D,AZ
S001212,Yea,Stauber,R,MN
S001135,Yea,Steel,R,CA
S001196,Yea,Stefanik,R,NY
S001213,Yea,Steil,R,WI
S001214,Yea,Steube,R,FL
S001215,Nay,Stevens,D,MI
S001159,Nay,Strickland,D,WA
S001220,Yea,Strong,R,AL
S001193,Nay,Swalwell,D,CA
S001223,Nay,Sykes,D,OH
T000472,Nay,Takano,D,CA
T000478,Yea,Tenney,R,NY
T000488,Nay,Thanedar,D,MI
T000460,Nay,Thompson (CA),D,CA
T000193,Nay,Thompson (MS),D,MS
T000467,Yea,Thompson (PA),R,PA
T000165,Yea,Tiffany,R,WI
T000480,Yea,Timmons,R,SC
T000468,Nay,Titus,D,NV
T000481,Nay,Tlaib,D,MI
T000487,Nay,Tokuda,D,HI
T000469,Nay,Tonko,D,NY
T000474,Nay,Torres (CA),D,CA
T000486,Nay,Torres (NY),D,NY
T000482,Nay,Trahan,D,MA
T000483,Nay,Trone,D,MD
T000463,Yea,Turner,R,OH
U000040,Nay,Underwood,D,IL
V000129,Yea,Valadao,R,CA
V000133,Yea,Van Drew,R,NJ
V000134,Yea,Van Duyne,R,TX
V000135,Yea,Van Orden,R,WI
V000130,Nay,Vargas,D,CA
V000136,Nay,Vasquez,D,NM
V000131,Nay,Veasey,D,TX
V000081,Nay,Velazquez,D,NY
W000812,Yea,Wagner,R,MO
W000798,Yea,Walberg,R,MI
W000823,Yea,Waltz,R,FL
W000797,Nay,Wasserman Schultz,D,FL
W000187,Nay,Waters,D,CA
W000822,Nay,Watson Coleman,D,NJ
W000814,Yea,Weber (TX),R,TX
W000806,Yea,Webster (FL),R,FL
W000815,Yea,Wenstrup,R,OH
W000821,Yea,Westerman,R,AR
W000825,Nay,Wexton,D,VA
W000826,Nay,Wild,D,PA
W000788,Nay,Williams (GA),D,GA
W000828,Yea,Williams (NY),R,NY
W000816,Yea,Williams (TX),R,TX
W000808,Nay,Wilson (FL),D,FL
W000795,Yea,Wilson (SC),R,SC
W000804,Yea,Wittman,R,VA
W000809,Yea,Womack,R,AR
Y000067,Yea,Yakym,R,IN
Z000018,Yea,Zinke,R,MT
